Season,League,Team,Player,Nation,Pos,Age,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
2022-2023,EPL,Newcastle Utd,Elliot Anderson,SCO,"MF,FW",19.0,0.0,0.0,0.0,6.0,10.0,1.0,9.0,6.0,5.0,0.0,0.0,0.0,29.0,11.0,5.0,68.8
2022-2023,EPL,Newcastle Utd,Ryan Fraser,SCO,FW,28.0,1.0,0.0,0.0,3.0,10.0,1.0,13.0,0.0,2.0,0.0,0.0,0.0,14.0,0.0,2.0,0.0
2022-2023,EPL,Newcastle Utd,Jamaal Lascelles,ENG,DF,28.0,4.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,62.5
2022-2023,EPL,Newcastle Utd,Martin Dúbravka,SVK,GK,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-2023,EPL,Newcastle Utd,Matt Ritchie,SCO,"FW,MF",32.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0
2022-2023,EPL,Newcastle Utd,Javier Manquillo,ESP,DF,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,
2022-2023,EPL,Newcastle Utd,Jonjo Shelvey,ENG,MF,30.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,
2022-2023,EPL,Newcastle Utd,Lewis Miley,ENG,MF,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
2022-2023,EPL,Newcastle Utd,Jamal Lewis,NIR,"DF,FW",24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
2022-2023,EPL,Newcastle Utd,Emil Krafth,SWE,DF,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-2023,EPL,Liverpool,Alisson,BRA,GK,29.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,11.0,1.0,91.7
2022-2023,EPL,Liverpool,Mohamed Salah,EGY,FW,30.0,2.0,0.0,0.0,20.0,33.0,22.0,38.0,6.0,12.0,0.0,0.0,0.0,100.0,8.0,30.0,21.1
2022-2023,EPL,Liverpool,Trent Alexander-Arnold,ENG,DF,23.0,5.0,0.0,0.0,22.0,6.0,5.0,252.0,43.0,40.0,0.0,0.0,0.0,239.0,20.0,13.0,60.6
