player,goals,goals_penalty,shots_total,shots_on_target,shots_avg_distance,shots_in_penalty_area,shots_in_goal_area,shots_in_attacking_third,shots_long_distance,shots_mid_distance,shots_short_distance,goal_volley,goals_avg_distance,goal_half_volley,goal_normal,goals_header,goals_header_%,shots_on_target_%,shot_conversion_%,shot_conversion_on_target_%,up_shot_conversion_%,up_shots_on_target_%,shots_inside_the_box_%,shots_outside_the_box_%,goals_right_foot_%,goals_left_foot_%,goals_with_first_touch_%,big_chance_conversion_%,goals_outside_penalty_area_%,goals_inside_penalty_area_%
Hiroki Sakai,1,0,3,2,11.671746825085464,2,1,1,1,0,2,0,22.940139493908923,0,1,0,0.0,0.667,0.333,0.5,0.333,0.667,0.0,1.0,1.0,0.0,1.0,,3.0,0.0
Hiroshi Kiyotake,0,0,5,0,21.07463024153304,2,0,0,4,1,0,0,0.0,0,0,0,,0.0,0.0,,0.0,0.0,0.0,1.0,,,,,inf,
Hugo Miguel Pereira de Almeida,0,0,6,2,14.486349342868499,4,0,0,2,2,2,0,0.0,0,0,0,,0.333,0.0,0.0,0.0,0.333,0.0,1.0,,,,,inf,
Håvard Nordtveit,1,0,4,3,14.080214754830934,3,0,0,1,1,2,0,28.71236667361296,0,1,0,0.0,0.75,0.25,0.333,0.25,0.75,0.0,1.0,1.0,0.0,0.0,,4.0,0.0
Ibrahima Traoré,2,0,9,8,7.4205915113856,7,0,0,1,2,6,0,13.688874164745648,0,2,0,0.0,0.889,0.222,0.25,0.222,0.889,0.0,1.0,0.0,1.0,0.0,,4.5,0.0
Ivan Perišić,0,0,1,1,2.6925824035672647,0,0,0,0,0,1,0,0.0,0,0,0,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,inf,
Iver Tobias Rørvik Fossum,0,0,3,1,15.273410219073922,2,0,0,1,1,1,0,0.0,0,0,0,,0.333,0.0,0.0,0.0,0.333,0.0,1.0,,,,,inf,
Ivica Olić,0,0,3,3,4.76825656369099,2,0,0,0,0,3,0,0.0,0,0,0,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,inf,
Ivo Iličević,1,0,10,6,15.749725571671608,6,0,0,3,6,1,0,13.245754036671528,0,1,0,0.0,0.6,0.1,0.167,0.1,0.6,0.0,1.0,1.0,0.0,0.0,,10.0,0.0
Ja-Cheol Koo,1,0,11,7,7.576052709840618,6,1,1,0,3,8,0,12.215563842901394,1,0,0,0.0,0.636,0.091,0.143,0.091,0.636,0.0,1.0,1.0,0.0,1.0,,11.0,0.0
Jairo Samperio Bustara,1,0,9,6,10.490595154153585,5,0,0,2,2,5,0,16.130716041143373,0,1,0,0.0,0.667,0.111,0.167,0.111,0.667,0.0,1.0,1.0,0.0,1.0,0.0,9.0,0.0
Jan Rosenthal,0,0,6,1,10.830740100600886,4,1,1,1,2,3,0,0.0,0,0,0,,0.167,0.0,0.0,0.0,0.167,0.0,1.0,,,,,inf,
Jan-Ingwer Callsen-Bracker,1,0,2,2,4.134326982277944,0,1,1,0,0,2,0,4.373785545725805,0,1,1,1.0,1.0,0.5,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,,2.0,0.0
Janek Sternberg,0,0,2,1,19.61846411535004,2,0,0,1,1,0,0,0.0,0,0,0,,0.5,0.0,0.0,0.0,0.5,0.0,1.0,,,,,inf,
Jannik Vestergaard,0,0,21,6,10.126349925237864,19,1,1,1,10,10,0,0.0,0,0,0,,0.286,0.0,0.0,0.0,0.286,0.0,1.0,,,,,inf,
Javier Hernández Balcázar,7,0,22,18,8.04355249941705,13,7,7,2,5,15,0,11.047155538953906,0,7,3,0.429,0.818,0.318,0.389,0.318,0.818,0.0,1.0,0.429,0.143,0.286,1.0,3.143,0.0
Jean-Eric Maxim Choupo-Moting,4,0,17,9,13.32707084447374,12,1,1,4,5,8,1,14.134727717956217,2,1,0,0.0,0.529,0.235,0.444,0.235,0.529,0.0,1.0,0.5,0.5,0.25,,4.25,0.0
Jens Hegeler,0,0,4,3,10.446521411997734,4,0,0,1,1,2,0,0.0,0,0,0,,0.75,0.0,0.0,0.0,0.75,0.0,1.0,,,,,inf,
Jeong-Ho Hong,0,0,6,3,8.727667691844074,6,0,0,0,3,3,0,0.0,0,0,0,,0.5,0.0,0.0,0.0,0.5,0.0,1.0,,,,,inf,
Jeremy Toljan,1,0,1,1,13.282319074619465,1,0,0,0,1,0,0,13.282319074619465,0,1,0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,1.0,0.0
Jhon Andrés Córdoba Copete,3,0,15,10,9.16939329522602,13,0,0,1,5,9,0,19.217905399001552,1,2,0,0.0,0.667,0.2,0.3,0.2,0.667,0.0,1.0,0.667,0.333,0.333,0.0,5.0,0.0
Jin-Su Kim,0,0,4,4,16.39794480285631,0,0,0,2,0,2,0,0.0,0,0,0,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,inf,
Joel Gerezgiher,0,0,2,1,12.490987142446361,2,0,0,0,2,0,0,0.0,0,0,0,,0.5,0.0,0.0,0.0,0.5,0.0,1.0,,,,,inf,
Johan Danon Djourou-Gbadjere,0,0,3,2,10.250786370254941,3,0,0,0,2,1,0,0.0,0,0,0,,0.667,0.0,0.0,0.0,0.667,0.0,1.0,,,,,inf,
