player,country,team,position,match_played,minutes_played,subbed_in,subbed_out,positions_played
Christoph Moritz,Germany,FSV Mainz 05,Left Defensive Midfield,8.0,257.0,5.0,2.0,"['Right Wing', 'Left Center Midfield', 'Center Attacking Midfield', 'Right Back', 'Left Defensive Midfield']"
Claudio Miguel Pizarro Bossio,Peru,Werder Bremen,Center Forward,28.0,1783.0,11.0,8.0,"['Left Center Midfield', 'Right Center Forward', 'Center Attacking Midfield', 'Right Center Midfield', 'Center Forward', 'Left Midfield', 'Left Center Forward']"
Cleber Janderson Pereira Reis,Brazil,Hamburger SV,Right Center Back,23.0,1500.0,8.0,1.0,"['Center Defensive Midfield', 'Center Attacking Midfield', 'Right Center Back', 'Left Defensive Midfield', 'Left Center Forward', 'Right Defensive Midfield', 'Left Wing', 'Left Center Back']"
Clemens Fritz,Germany,Werder Bremen,Right Defensive Midfield,29.0,2521.0,0.0,8.0,"['Left Center Midfield', 'Right Back', 'Right Center Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Right Midfield']"
Daniel Baier,Germany,Augsburg,Left Defensive Midfield,28.0,2326.0,0.0,9.0,"['Right Defensive Midfield', 'Center Defensive Midfield', 'Left Defensive Midfield']"
Daniel Brosinski,Germany,FSV Mainz 05,Right Back,30.0,2261.0,6.0,1.0,"['Right Wing', 'Right Back', 'Right Wing Back', 'Right Center Back', 'Left Midfield', 'Right Midfield']"
Daniel Caligiuri,Germany,Wolfsburg,"['Right Midfield', 'Right Wing']",29.0,1848.0,9.0,7.0,"['Left Center Midfield', 'Right Wing', 'Right Center Forward', 'Right Back', 'Right Center Midfield', 'Center Forward', 'Left Midfield', 'Left Wing Back', 'Left Wing', 'Right Midfield']"
Daniel Didavi,Germany,VfB Stuttgart,Center Attacking Midfield,31.0,2444.0,1.0,15.0,"['Left Center Midfield', 'Right Wing', 'Right Center Forward', 'Center Attacking Midfield', 'Right Center Midfield', 'Center Forward', 'Left Midfield', 'Left Defensive Midfield', 'Left Center Forward', 'Right Defensive Midfield', 'Right Midfield']"
Daniel Ginczek,Germany,VfB Stuttgart,Left Center Forward,7.0,630.0,0.0,0.0,"['Right Center Forward', 'Center Forward', 'Left Center Forward']"
Daniel Mesenhöler,Germany,FC Köln,0,0.0,0.0,0.0,0.0,[]
Daniel Schwaab,Germany,VfB Stuttgart,Right Center Back,29.0,2397.0,3.0,1.0,"['Center Attacking Midfield', 'Right Back', 'Center Back', 'Right Center Back', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield']"
Daniel Tawiah Opare,Ghana,Augsburg,Right Back,4.0,360.0,0.0,0.0,"['Right Wing Back', 'Right Midfield', 'Right Back']"
Daniel Zeaiter,Germany,FSV Mainz 05,0,0.0,0.0,0.0,0.0,[]
Danilo Teodoro Soares,Brazil,Ingolstadt,Left Back,1.0,90.0,0.0,0.0,['Left Back']
Danny Latza,Germany,FSV Mainz 05,Left Defensive Midfield,27.0,1872.0,7.0,9.0,"['Center Attacking Midfield', 'Center Back', 'Right Center Back', 'Left Defensive Midfield', 'Right Defensive Midfield']"
