player,touches_total,touches_in_defending_penalty,touches_in_defending_third,touches_in_middle_third,touches_in_attacking_third,touches_in_attacking_penalty,dribbling_total,dribbling_completed,dribbling_not_completed,dribbling_overrun,dribbling_through_legs,dribbling_push_and_run,carries_total,carry_into_attacking_third,carry_into_penalty_area,carry_into_edge_of_the_box,carry_distance,progressive_carry_total,progressive_carry_distance,miscontrol_total,miscontrol_in_aerial_duel,dispossessed_total,dispossessed_in_defending_penalty_area,dispossessed_in_defending_third,dispossessed_in_middle_third,dispossessed_in_attacking_third,dispossessed_in_penalty_area,balls_received,balls_received_successful,error_lead_to_goal,up_touches_total,up_touches_in_defending_penalty,up_touches_in_defending_third,up_touches_in_middle_third,up_touches_in_attacking_third,up_touches_in_attacking_penalty,up_dribbling_total,up_dribbling_completed,up_dribbling_not_completed,up_dribbling_overrun,up_dribbling_through_legs,up_dribbling_push_and_run,up_carries_total,up_carry_into_attacking_third,up_carry_into_penalty_area,up_carry_into_edge_of_the_box,up_carry_distance,up_progressive_carry_total,up_progressive_carry_distance,up_miscontrol_total,up_miscontrol_in_aerial_duel,up_dispossessed_total,up_dispossessed_in_defending_penalty_area,up_dispossessed_in_defending_third,up_dispossessed_in_middle_third,up_dispossessed_in_attacking_third,up_dispossessed_in_penalty_area,up_balls_received,up_balls_received_successful,up_error_lead_to_goal,touches_in_defending_penalty_%,touches_in_defending_third_%,touches_in_middle_third_%,touches_in_attacking_third_%,touches_in_attacking_penalty_%,ball_reception_%,dribblings_successful_%,distance_per_carry,carries_into_attacking_third_%,carries_into_penalty_area_%,carries_into_edge_of_the_box_%,distance_per_progressive_carry,dispossessed_per_carry_%
Jean-Eric Maxim Choupo-Moting,1358,23,230,585,543,104,123,79,44,2,6,0,540,20,23,5,4094.2423664763674,324,3046.969276061791,25,5,56,0,6,29,21,6,170,166,0,1358,23,230,585,543,104,123,79,44,2,6,0,540,20,23,5,4094.2423664763674,324,3046.969276061791,25,5,56,0,6,29,21,6,170,166,0,0.016936671575846832,0.16936671575846834,0.43078055964653905,0.39985272459499266,0.07658321060382917,0.9764705882352941,0.6422764227642277,7.581930308289569,0.037037037037037035,0.04259259259259259,0.009259259259259259,9.404226160684539,0.1037037037037037
Jeffrey Gouweleeuw,246,50,158,78,10,2,3,2,1,0,0,0,59,1,0,0,521.637970189824,40,394.7179447906593,0,0,1,0,1,0,0,0,3,3,0,246,50,158,78,10,2,3,2,1,0,0,0,59,1,0,0,521.637970189824,40,394.7179447906593,0,0,1,0,1,0,0,0,3,3,0,0.2032520325203252,0.6422764227642277,0.3170731707317073,0.04065040650406504,0.008130081300813009,1.0,0.6666666666666666,8.841321528641085,0.01694915254237288,0.0,0.0,9.867948619766484,0.01694915254237288
Jens Hegeler,250,18,50,168,32,8,5,5,0,0,0,0,71,2,2,0,449.4276831731764,31,246.1158572232725,3,1,5,0,0,4,1,0,27,25,0,250,18,50,168,32,8,5,5,0,0,0,0,71,2,2,0,449.4276831731764,31,246.1158572232725,3,1,5,0,0,4,1,0,27,25,0,0.072,0.2,0.672,0.128,0.032,0.9259259259259259,1.0,6.329967368636287,0.028169014084507043,0.028169014084507043,0.0,7.939221200750726,0.07042253521126761
Jeong-Ho Hong,488,110,301,158,29,19,2,2,0,0,0,0,120,0,0,0,855.9765123848028,63,526.8519371043114,3,1,2,0,1,1,0,0,15,15,0,488,110,301,158,29,19,2,2,0,0,0,0,120,0,0,0,855.9765123848028,63,526.8519371043114,3,1,2,0,1,1,0,0,15,15,0,0.22540983606557377,0.6168032786885246,0.3237704918032787,0.05942622950819672,0.0389344262295082,1.0,1.0,7.13313760320669,0.0,0.0,0.0,8.362729160385896,0.016666666666666666
Jeremy Toljan,492,52,148,204,140,25,23,14,9,1,1,0,187,21,12,1,1804.5842360290835,122,1420.39728446339,8,0,24,1,3,7,14,3,28,25,0,492,52,148,204,140,25,23,14,9,1,1,0,187,21,12,1,1804.5842360290835,122,1420.39728446339,8,0,24,1,3,7,14,3,28,25,0,0.10569105691056911,0.3008130081300813,0.4146341463414634,0.2845528455284553,0.0508130081300813,0.8928571428571429,0.6086956521739131,9.65018308036943,0.11229946524064172,0.06417112299465241,0.0053475935828877,11.642600692322869,0.12834224598930483
Jhon Andrés Córdoba Copete,877,10,42,450,385,65,25,15,10,2,1,2,297,17,21,7,2295.967859085144,152,1613.3723304500454,25,6,56,0,0,19,37,4,161,155,0,877,10,42,450,385,65,25,15,10,2,1,2,297,17,21,7,2295.967859085144,152,1613.3723304500454,25,6,56,0,0,19,37,4,161,155,0,0.011402508551881414,0.04789053591790194,0.5131128848346637,0.43899657924743446,0.07411630558722919,0.9627329192546584,0.6,7.730531512071192,0.05723905723905724,0.0707070707070707,0.02356902356902357,10.614291647697668,0.18855218855218855
Jiloan Hamad,155,6,40,74,41,9,6,2,4,3,1,0,58,1,1,1,359.99154144527455,25,201.005651641919,4,1,3,0,1,0,2,1,21,21,0,155,6,40,74,41,9,6,2,4,3,1,0,58,1,1,1,359.99154144527455,25,201.005651641919,4,1,3,0,1,0,2,1,21,21,0,0.03870967741935484,0.25806451612903225,0.4774193548387097,0.2645161290322581,0.05806451612903226,1.0,0.3333333333333333,6.206750714573699,0.017241379310344827,0.017241379310344827,0.017241379310344827,8.04022606567676,0.05172413793103448
Jin-Su Kim,422,45,190,152,80,3,15,5,10,1,2,0,147,12,0,0,1267.5805102212964,84,1003.5432046176136,3,1,15,0,1,3,11,1,23,20,0,422,45,190,152,80,3,15,5,10,1,2,0,147,12,0,0,1267.5805102212964,84,1003.5432046176136,3,1,15,0,1,3,11,1,23,20,0,0.1066350710900474,0.45023696682464454,0.36018957345971564,0.1895734597156398,0.0071090047393364926,0.8695652173913043,0.3333333333333333,8.622996668172085,0.08163265306122448,0.0,0.0,11.946942912114448,0.10204081632653061
Joel Gerezgiher,53,0,5,21,27,4,3,2,1,0,0,1,18,3,0,0,126.77763477243938,11,97.20712626862851,0,0,3,0,0,1,2,0,8,8,0,53,0,5,21,27,4,3,2,1,0,0,1,18,3,0,0,126.77763477243938,11,97.20712626862851,0,0,3,0,0,1,2,0,8,8,0,0.0,0.09433962264150944,0.39622641509433965,0.5094339622641509,0.07547169811320754,1.0,0.6666666666666666,7.043201931802188,0.16666666666666666,0.0,0.0,8.837011478966229,0.16666666666666666
Joelinton Cassio Apolinário de Lira,5,0,0,3,2,2,0,0,0,0,0,0,2,0,0,0,16.404000251806806,2,16.404000251806806,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,2,2,0,0,0,0,0,0,2,0,0,0,16.404000251806806,2,16.404000251806806,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.4,0.4,,,8.202000125903403,0.0,0.0,0.0,8.202000125903403,0.0
Johan Danon Djourou-Gbadjere,590,136,386,182,22,11,2,1,1,0,0,0,158,4,0,0,954.0618009978595,87,657.584110634233,0,0,9,2,4,4,1,0,18,17,0,590,136,386,182,22,11,2,1,1,0,0,0,158,4,0,0,954.0618009978595,87,657.584110634233,0,0,9,2,4,4,1,0,18,17,0,0.2305084745762712,0.6542372881355932,0.30847457627118646,0.03728813559322034,0.01864406779661017,0.9444444444444444,0.5,6.038365829100377,0.02531645569620253,0.0,0.0,7.558438053267046,0.056962025316455694
Johannes Flum,64,1,4,41,19,2,0,0,0,0,0,0,24,1,0,0,176.92267033686613,16,148.32291566585286,0,0,2,0,0,1,1,0,9,9,0,64,1,4,41,19,2,0,0,0,0,0,0,24,1,0,0,176.92267033686613,16,148.32291566585286,0,0,2,0,0,1,1,0,9,9,0,0.015625,0.0625,0.640625,0.296875,0.03125,1.0,,7.3717779307027556,0.041666666666666664,0.0,0.0,9.270182229115804,0.08333333333333333
Johannes Geis,843,38,232,515,96,2,10,8,2,0,0,0,291,5,0,0,1346.811265843811,168,932.8574569415697,1,0,7,0,0,5,2,0,70,67,0,843,38,232,515,96,2,10,8,2,0,0,0,291,5,0,0,1346.811265843811,168,932.8574569415697,1,0,7,0,0,5,2,0,70,67,0,0.045077105575326216,0.2752075919335706,0.6109134045077106,0.11387900355871886,0.002372479240806643,0.9571428571428572,0.8,4.628217408397976,0.01718213058419244,0.0,0.0,5.552722957985534,0.024054982817869417
Johannes van den Bergh,68,2,15,37,16,0,2,1,1,0,0,0,20,1,0,0,120.76996929903616,11,84.97574904924824,1,1,2,0,0,1,1,0,8,8,0,68,2,15,37,16,0,2,1,1,0,0,0,20,1,0,0,120.76996929903616,11,84.97574904924824,1,1,2,0,0,1,1,0,8,8,0,0.029411764705882353,0.22058823529411764,0.5441176470588235,0.23529411764705882,0.0,1.0,0.5,6.038498464951808,0.05,0.0,0.0,7.725068095386203,0.1
John Anthony Brooks,492,97,327,130,35,17,8,3,5,1,0,0,115,2,0,0,976.9452010239422,63,701.7706494074673,2,1,4,0,2,0,2,1,26,26,0,492,97,327,130,35,17,8,3,5,1,0,0,115,2,0,0,976.9452010239422,63,701.7706494074673,2,1,4,0,2,0,2,1,26,26,0,0.19715447154471544,0.6646341463414634,0.26422764227642276,0.07113821138211382,0.034552845528455285,1.0,0.375,8.495175661077758,0.017391304347826087,0.0,0.0,11.139216657261386,0.034782608695652174
Jonas Hector,1255,108,373,598,284,28,44,31,13,4,1,0,484,31,6,1,3630.420796515182,271,2539.8607734040365,9,1,37,0,4,13,20,3,98,96,0,1255,108,373,598,284,28,44,31,13,4,1,0,484,31,6,1,3630.420796515182,271,2539.8607734040365,9,1,37,0,4,13,20,3,98,96,0,0.08605577689243028,0.2972111553784861,0.47649402390438245,0.22629482071713147,0.022310756972111555,0.9795918367346939,0.7045454545454546,7.500869414287566,0.0640495867768595,0.012396694214876033,0.002066115702479339,9.372179975660652,0.07644628099173553
Jonas Hofmann,263,6,25,91,147,33,17,10,7,0,2,0,113,4,2,3,856.4574803914622,67,599.0637433664573,3,0,14,1,1,2,11,3,31,25,0,263,6,25,91,147,33,17,10,7,0,2,0,113,4,2,3,856.4574803914622,67,599.0637433664573,3,0,14,1,1,2,11,3,31,25,0,0.022813688212927757,0.09505703422053231,0.34600760456273766,0.55893536121673,0.12547528517110265,0.8064516129032258,0.5882352941176471,7.579269737977542,0.035398230088495575,0.017699115044247787,0.02654867256637168,8.9412499009919,0.12389380530973451
Jonathan Schmid,517,16,68,213,236,37,23,6,17,1,2,0,179,9,5,2,1221.3423226124592,96,795.6631976267704,10,1,25,0,3,8,14,1,71,68,0,517,16,68,213,236,37,23,6,17,1,2,0,179,9,5,2,1221.3423226124592,96,795.6631976267704,10,1,25,0,3,8,14,1,71,68,0,0.030947775628626693,0.13152804642166344,0.4119922630560928,0.4564796905222437,0.07156673114119923,0.9577464788732394,0.2608695652173913,6.8231414671087105,0.05027932960893855,0.027932960893854747,0.0111731843575419,8.288158308612191,0.13966480446927373
Jonathan Tah,825,116,458,315,52,22,16,8,8,1,0,0,246,6,1,1,2230.9857947029864,126,1244.1805609579428,2,0,13,0,8,3,2,1,21,18,0,825,116,458,315,52,22,16,8,8,1,0,0,246,6,1,1,2230.9857947029864,126,1244.1805609579428,2,0,13,0,8,3,2,1,21,18,0,0.1406060606060606,0.5551515151515152,0.38181818181818183,0.06303030303030303,0.02666666666666667,0.8571428571428571,0.5,9.0690479459471,0.024390243902439025,0.0040650406504065045,0.0040650406504065045,9.874448896491609,0.052845528455284556
Joo-Ho Park,188,8,59,99,30,0,4,3,1,0,0,0,74,5,0,0,514.1813245519526,41,280.5708906852622,0,0,8,0,1,4,3,0,12,10,0,188,8,59,99,30,0,4,3,1,0,0,0,74,5,0,0,514.1813245519526,41,280.5708906852622,0,0,8,0,1,4,3,0,12,10,0,0.0425531914893617,0.31382978723404253,0.526595744680851,0.1595744680851064,0.0,0.8333333333333334,0.75,6.948396277729088,0.06756756756756757,0.0,0.0,6.8431924557381025,0.10810810810810811
Joshua Kimmich,599,22,194,333,72,6,12,10,2,0,1,0,235,7,0,0,1631.2589116841914,106,953.7918432568697,3,0,5,0,3,0,2,0,44,42,0,599,22,194,333,72,6,12,10,2,0,1,0,235,7,0,0,1631.2589116841914,106,953.7918432568697,3,0,5,0,3,0,2,0,44,42,0,0.03672787979966611,0.32387312186978295,0.5559265442404007,0.12020033388981637,0.01001669449081803,0.9545454545454546,0.8333333333333334,6.941527283762516,0.029787234042553193,0.0,0.0,8.99803625714028,0.02127659574468085
Josip Drmic,367,5,65,145,157,36,22,8,14,2,2,0,118,3,5,2,827.7094357265993,57,523.1944631997054,9,0,16,0,1,7,8,4,54,51,0,367,5,65,145,157,36,22,8,14,2,2,0,118,3,5,2,827.7094357265993,57,523.1944631997054,9,0,16,0,1,7,8,4,54,51,0,0.013623978201634877,0.1771117166212534,0.39509536784741145,0.42779291553133514,0.09809264305177112,0.9444444444444444,0.36363636363636365,7.014486743445756,0.025423728813559324,0.0423728813559322,0.01694915254237288,9.17885023157378,0.13559322033898305
Josuha Guilavogui,968,61,264,564,140,23,20,12,8,1,1,0,341,11,3,0,2068.3616938840196,210,1481.2192902176757,5,0,24,0,6,8,10,1,87,83,0,968,61,264,564,140,23,20,12,8,1,1,0,341,11,3,0,2068.3616938840196,210,1481.2192902176757,5,0,24,0,6,8,10,1,87,83,0,0.06301652892561983,0.2727272727272727,0.5826446280991735,0.1446280991735537,0.023760330578512397,0.9540229885057471,0.6,6.065576814909148,0.03225806451612903,0.008797653958944282,0.0,7.0534251915127415,0.07038123167155426
Joël Andre Job Matip,910,186,503,303,104,57,18,13,5,1,1,0,240,14,1,1,2958.6500926351764,170,2540.101707883891,1,1,9,0,5,2,2,1,27,26,1,910,186,503,303,104,57,18,13,5,1,1,0,240,14,1,1,2958.6500926351764,170,2540.101707883891,1,1,9,0,5,2,2,1,27,26,1,0.2043956043956044,0.5527472527472528,0.33296703296703295,0.11428571428571428,0.06263736263736264,0.9629629629629629,0.7222222222222222,12.327708719313234,0.058333333333333334,0.004166666666666667,0.004166666666666667,14.941774752258182,0.0375
Juan Bernat Velasco,500,18,115,238,147,8,27,14,13,1,4,0,205,10,3,0,1210.2132419207373,116,788.1365168363124,4,0,27,0,2,12,13,2,32,30,0,500,18,115,238,147,8,27,14,13,1,4,0,205,10,3,0,1210.2132419207373,116,788.1365168363124,4,0,27,0,2,12,13,2,32,30,0,0.036,0.23,0.476,0.294,0.016,0.9375,0.5185185185185185,5.903479228881646,0.04878048780487805,0.014634146341463415,0.0,6.794280317554417,0.13170731707317074
Julian Baumgartlinger,1233,78,322,742,169,22,17,11,6,1,1,0,401,12,2,1,1933.4178329302063,206,1117.1950992344769,7,1,38,1,7,22,9,1,111,108,0,1233,78,322,742,169,22,17,11,6,1,1,0,401,12,2,1,1933.4178329302063,206,1117.1950992344769,7,1,38,1,7,22,9,1,111,108,0,0.06326034063260341,0.2611516626115166,0.6017842660178426,0.13706407137064072,0.017842660178426603,0.972972972972973,0.6470588235294118,4.821490855187546,0.029925187032418952,0.004987531172069825,0.0024937655860349127,5.423277180749888,0.09476309226932668
Julian Brandt,891,6,51,420,420,52,56,28,28,3,1,0,355,46,14,5,3234.345721142328,236,2688.6123230688668,20,0,41,0,0,14,27,4,114,107,0,891,6,51,420,420,52,56,28,28,3,1,0,355,46,14,5,3234.345721142328,236,2688.6123230688668,20,0,41,0,0,14,27,4,114,107,0,0.006734006734006734,0.05723905723905724,0.4713804713804714,0.4713804713804714,0.058361391694725026,0.9385964912280702,0.5,9.110833017302332,0.1295774647887324,0.03943661971830986,0.014084507042253521,11.392425097749436,0.11549295774647887
Julian Draxler,996,12,96,496,404,50,85,51,34,3,9,0,441,22,14,2,3437.4928180563097,268,2512.3515009010057,9,0,35,0,1,17,17,2,106,102,0,996,12,96,496,404,50,85,51,34,3,9,0,441,22,14,2,3437.4928180563097,268,2512.3515009010057,9,0,35,0,1,17,17,2,106,102,0,0.012048192771084338,0.0963855421686747,0.4979919678714859,0.40562248995983935,0.050200803212851405,0.9622641509433962,0.6,7.7947682949122665,0.049886621315192746,0.031746031746031744,0.0045351473922902496,9.37444589888435,0.07936507936507936
Julian Korb,420,25,103,202,115,17,14,8,6,0,2,0,153,3,3,0,692.8817780905955,84,435.8540395172823,2,0,10,0,2,5,3,0,32,30,0,420,25,103,202,115,17,14,8,6,0,2,0,153,3,3,0,692.8817780905955,84,435.8540395172823,2,0,10,0,2,5,3,0,32,30,0,0.05952380952380952,0.24523809523809523,0.48095238095238096,0.27380952380952384,0.04047619047619048,0.9375,0.5714285714285714,4.528639072487552,0.0196078431372549,0.0196078431372549,0.0,5.188738565681932,0.06535947712418301
Julian Schieber,67,1,5,28,34,1,2,0,2,1,0,0,16,0,1,0,84.37801084567873,7,52.54868306979327,3,0,5,0,0,2,3,0,12,12,0,67,1,5,28,34,1,2,0,2,1,0,0,16,0,1,0,84.37801084567873,7,52.54868306979327,3,0,5,0,0,2,3,0,12,12,0,0.014925373134328358,0.07462686567164178,0.417910447761194,0.5074626865671642,0.014925373134328358,1.0,0.0,5.273625677854921,0.0,0.0625,0.0,7.506954724256182,0.3125
Julian Weigl,1072,30,219,708,145,3,25,17,8,2,0,0,411,19,0,0,2277.334329243101,263,1696.5412469973662,7,1,17,0,1,11,5,0,87,84,0,1072,30,219,708,145,3,25,17,8,2,0,0,411,19,0,0,2277.334329243101,263,1696.5412469973662,7,1,17,0,1,11,5,0,87,84,0,0.027985074626865673,0.2042910447761194,0.6604477611940298,0.13526119402985073,0.002798507462686567,0.9655172413793104,0.68,5.540959438547691,0.046228710462287104,0.0,0.0,6.450727174894928,0.0413625304136253
Jérôme Boateng,524,42,219,271,34,6,4,4,0,0,0,0,198,4,1,0,1215.3452351959484,104,746.0212948792422,1,0,2,0,0,1,1,1,25,25,0,524,42,219,271,34,6,4,4,0,0,0,0,198,4,1,0,1215.3452351959484,104,746.0212948792422,1,0,2,0,0,1,1,1,25,25,0,0.08015267175572519,0.4179389312977099,0.517175572519084,0.0648854961832061,0.011450381679389313,1.0,1.0,6.138107248464386,0.020202020202020204,0.005050505050505051,0.0,7.173281681531175,0.010101010101010102
Jérôme Gondorf,1124,46,263,538,323,44,37,25,12,3,3,0,355,16,8,3,2345.1821612440413,205,1699.1461776055498,10,1,46,0,9,17,20,3,112,100,0,1124,46,263,538,323,44,37,25,12,3,3,0,355,16,8,3,2345.1821612440413,205,1699.1461776055498,10,1,46,0,9,17,20,3,112,100,0,0.04092526690391459,0.23398576512455516,0.4786476868327402,0.2873665480427046,0.03914590747330961,0.8928571428571429,0.6756756756756757,6.606146933081806,0.04507042253521127,0.022535211267605635,0.008450704225352112,8.288517939539268,0.1295774647887324
Júnior Enrique Díaz Campbell,191,33,99,61,31,1,4,0,4,0,0,0,41,0,0,0,176.27089078803834,20,85.94697135552425,0,0,3,0,3,0,0,0,10,9,0,191,33,99,61,31,1,4,0,4,0,0,0,41,0,0,0,176.27089078803834,20,85.94697135552425,0,0,3,0,3,0,0,0,10,9,0,0.17277486910994763,0.518324607329843,0.3193717277486911,0.16230366492146597,0.005235602094240838,0.9,0.0,4.2992900192204475,0.0,0.0,0.0,4.297348567776213,0.07317073170731707
Kaan Ayhan,20,4,6,13,1,1,0,0,0,0,0,0,5,0,0,0,44.23119603676509,3,9.183745627508944,0,0,0,0,0,0,0,0,0,0,0,20,4,6,13,1,1,0,0,0,0,0,0,5,0,0,0,44.23119603676509,3,9.183745627508944,0,0,0,0,0,0,0,0,0,0,0,0.2,0.3,0.65,0.05,0.05,,,8.846239207353019,0.0,0.0,0.0,3.0612485425029816,0.0
Karim Bellarabi,1418,13,139,500,779,122,144,75,69,13,6,0,615,61,39,4,5602.0212063363315,417,4773.716456499245,17,2,105,0,4,26,75,12,139,128,0,1418,13,139,500,779,122,144,75,69,13,6,0,615,61,39,4,5602.0212063363315,417,4773.716456499245,17,2,105,0,4,26,75,12,139,128,0,0.009167842031029619,0.09802538787023977,0.3526093088857546,0.5493653032440057,0.08603667136812412,0.920863309352518,0.5208333333333334,9.108977571278588,0.0991869918699187,0.06341463414634146,0.0065040650406504065,11.447761286568934,0.17073170731707318
Karim Onisiwo,198,3,21,69,108,14,12,5,7,1,0,0,71,4,5,0,690.5668602308562,50,574.0692460898294,7,0,9,0,0,3,6,2,24,23,0,198,3,21,69,108,14,12,5,7,1,0,0,71,4,5,0,690.5668602308562,50,574.0692460898294,7,0,9,0,0,3,6,2,24,23,0,0.015151515151515152,0.10606060606060606,0.3484848484848485,0.5454545454545454,0.0707070707070707,0.9583333333333334,0.4166666666666667,9.726293806068396,0.056338028169014086,0.07042253521126761,0.0,11.48138492179659,0.1267605633802817
Kazuki Nagasawa,35,2,3,23,9,2,0,0,0,0,0,0,10,0,0,0,50.953647026578324,3,26.794197928646618,2,0,0,0,0,0,0,0,6,6,0,35,2,3,23,9,2,0,0,0,0,0,0,10,0,0,0,50.953647026578324,3,26.794197928646618,2,0,0,0,0,0,0,0,6,6,0,0.05714285714285714,0.08571428571428572,0.6571428571428571,0.2571428571428571,0.05714285714285714,1.0,,5.095364702657832,0.0,0.0,0.0,8.931399309548873,0.0
Kenan Karaman,961,20,153,414,394,63,51,27,24,6,3,0,382,30,7,0,2724.667803423069,241,2236.9519736253937,17,2,59,0,3,31,25,5,115,111,0,961,20,153,414,394,63,51,27,24,6,3,0,382,30,7,0,2724.667803423069,241,2236.9519736253937,17,2,59,0,3,31,25,5,115,111,0,0.02081165452653486,0.15920915712799166,0.4308012486992716,0.4099895941727367,0.06555671175858481,0.9652173913043478,0.5294117647058824,7.132638228856202,0.07853403141361257,0.01832460732984293,0.0,9.281958396785866,0.1544502617801047
Kevin De Bruyne,81,0,14,44,23,0,8,5,3,1,1,0,38,2,0,0,270.61887158195555,23,237.76060457227945,2,0,6,0,2,2,2,0,7,7,0,81,0,14,44,23,0,8,5,3,1,1,0,38,2,0,0,270.61887158195555,23,237.76060457227945,2,0,6,0,2,2,2,0,7,7,0,0.0,0.1728395061728395,0.5432098765432098,0.2839506172839506,0.0,1.0,0.625,7.121549252156725,0.05263157894736842,0.0,0.0,10.337417590099106,0.15789473684210525
Kevin Großkreutz,274,22,82,101,91,15,5,3,2,0,1,0,93,9,3,0,809.4674404458459,52,592.3347600770818,2,0,19,0,2,3,14,1,15,15,0,274,22,82,101,91,15,5,3,2,0,1,0,93,9,3,0,809.4674404458459,52,592.3347600770818,2,0,19,0,2,3,14,1,15,15,0,0.08029197080291971,0.29927007299270075,0.3686131386861314,0.33211678832116787,0.05474452554744526,1.0,0.6,8.703950972535978,0.0967741935483871,0.03225806451612903,0.0,11.391053078405418,0.20430107526881722
Kevin Kampl,958,19,138,503,317,28,38,24,14,1,2,0,418,24,10,1,2903.4601756203765,234,1999.9830933091175,1,0,27,0,5,10,12,3,74,71,0,958,19,138,503,317,28,38,24,14,1,2,0,418,24,10,1,2903.4601756203765,234,1999.9830933091175,1,0,27,0,5,10,12,3,74,71,0,0.019832985386221295,0.1440501043841336,0.5250521920668059,0.33089770354906056,0.029227557411273485,0.9594594594594594,0.631578947368421,6.946076975168364,0.05741626794258373,0.023923444976076555,0.0023923444976076554,8.54693629619281,0.0645933014354067
Kevin Kuranyi,288,5,24,128,136,30,13,5,8,0,4,0,77,3,3,1,357.19467688386254,42,201.51958962357247,7,1,9,0,1,3,5,1,45,43,0,288,5,24,128,136,30,13,5,8,0,4,0,77,3,3,1,357.19467688386254,42,201.51958962357247,7,1,9,0,1,3,5,1,45,43,0,0.017361111111111112,0.08333333333333333,0.4444444444444444,0.4722222222222222,0.10416666666666667,0.9555555555555556,0.38461538461538464,4.6388919075826305,0.03896103896103896,0.03896103896103896,0.012987012987012988,4.798085467227916,0.11688311688311688
Kevin Vogt,584,29,140,341,103,20,12,7,5,1,3,0,188,7,0,1,894.4761534941118,97,555.3955368663411,4,1,11,0,4,6,1,1,55,54,0,584,29,140,341,103,20,12,7,5,1,3,0,188,7,0,1,894.4761534941118,97,555.3955368663411,4,1,11,0,4,6,1,1,55,54,0,0.04965753424657534,0.23972602739726026,0.583904109589041,0.17636986301369864,0.03424657534246575,0.9818181818181818,0.5833333333333334,4.757851880287829,0.03723404255319149,0.0,0.005319148936170213,5.7257271841890836,0.05851063829787234
Kevin Volland,1669,15,129,723,817,121,93,49,44,4,8,0,620,45,22,4,4131.135051944509,417,3372.712521941192,36,4,94,0,7,32,55,7,267,254,0,1669,15,129,723,817,121,93,49,44,4,8,0,620,45,22,4,4131.135051944509,417,3372.712521941192,36,4,94,0,7,32,55,7,267,254,0,0.008987417615338526,0.07729179149191133,0.43319352905931696,0.4895146794487717,0.07249850209706411,0.951310861423221,0.5268817204301075,6.663121051523401,0.07258064516129033,0.035483870967741936,0.0064516129032258064,8.08803962096209,0.15161290322580645
Kingsley Coman,1146,5,70,435,641,62,92,63,29,2,3,0,521,39,30,1,4745.910950510737,351,4135.100860984776,22,0,55,0,0,20,35,5,121,118,0,1146,5,70,435,641,62,92,63,29,2,3,0,521,39,30,1,4745.910950510737,351,4135.100860984776,22,0,55,0,0,20,35,5,121,118,0,0.004363001745200698,0.06108202443280977,0.3795811518324607,0.5593368237347295,0.05410122164048865,0.9752066115702479,0.6847826086956522,9.109234070078191,0.07485604606525911,0.05758157389635317,0.0019193857965451055,11.78091413385976,0.10556621880998081
Klaas-Jan Huntelaar,908,23,45,399,464,132,18,10,8,0,1,0,255,4,14,8,1267.9555573850291,126,684.4282614231281,40,11,44,0,0,19,25,7,174,162,0,908,23,45,399,464,132,18,10,8,0,1,0,255,4,14,8,1267.9555573850291,126,684.4282614231281,40,11,44,0,0,19,25,7,174,162,0,0.025330396475770924,0.04955947136563876,0.43942731277533037,0.5110132158590308,0.14537444933920704,0.9310344827586207,0.5555555555555556,4.972374734843251,0.01568627450980392,0.054901960784313725,0.03137254901960784,5.431970328754985,0.17254901960784313
Koen Casteels,155,135,155,0,0,0,0,0,0,0,0,0,71,0,0,0,384.2820850829744,44,243.18905160524744,0,0,1,1,1,0,0,0,21,21,0,155,135,155,0,0,0,0,0,0,0,0,0,71,0,0,0,384.2820850829744,44,243.18905160524744,0,0,1,1,1,0,0,0,21,21,0,0.8709677419354839,1.0,0.0,0.0,0.0,1.0,,5.41242373356302,0.0,0.0,0.0,5.52702390011926,0.014084507042253521
Konstantin Engel,48,5,22,19,7,0,2,1,1,0,0,0,18,1,0,0,160.56480711225774,10,110.03958770563439,0,0,0,0,0,0,0,0,0,0,0,48,5,22,19,7,0,2,1,1,0,0,0,18,1,0,0,160.56480711225774,10,110.03958770563439,0,0,0,0,0,0,0,0,0,0,0,0.10416666666666667,0.4583333333333333,0.3958333333333333,0.14583333333333334,0.0,,0.5,8.920267061792096,0.05555555555555555,0.0,0.0,11.00395877056344,0.0
Konstantin Rausch,625,22,173,207,245,26,27,7,20,1,4,0,212,6,5,1,1213.2047600401943,103,704.9348563432261,7,1,24,0,1,11,12,0,63,55,0,625,22,173,207,245,26,27,7,20,1,4,0,212,6,5,1,1213.2047600401943,103,704.9348563432261,7,1,24,0,1,11,12,0,63,55,0,0.0352,0.2768,0.3312,0.392,0.0416,0.873015873015873,0.25925925925925924,5.722663962453747,0.02830188679245283,0.02358490566037736,0.0047169811320754715,6.844027731487632,0.11320754716981132
