index,UMAP 1,UMAP 2,new_position,role,position_level_1
9452.0,5.973074,2.548549,Midfielder,Right Defensive Midfield,Defensive Midfielder
31296.0,12.299415,1.5472969,Defender,Left Center Back,Regular Defender
3656.0,2.7807655,1.8173248,Midfielder,Right Wing,Winger
23742.0,3.355582,0.35521457,Midfielder,Center Attacking Midfield,Offensive Midfielder
6800.0,3.1701748,0.96447927,Forward,Left Wing,Winger
9630.0,4.3170495,-1.1345102,Midfielder,Center Attacking Midfield,Offensive Midfielder
2956.0,1.0129158,0.8891339,Forward,Center Attacking Midfield,Offensive Midfielder
3621.0,1.5283946,4.2658753,Forward,Right Wing,Winger
3478.0,4.6953306,3.3754592,Midfielder,Left Center Back,Regular Defender
12325.0,0.50880635,7.991289,Defender,Left Center Back,Regular Defender
4590.0,5.4875526,-3.478547,Defender,Right Back,Offensive Defender
3958.0,1.7370082,3.8970337,Forward,Left Defensive Midfield,Defensive Midfielder
3535.0,2.5084767,1.7376235,Forward,Left Center Forward,Striker
3339.0,4.8921604,18.713186,Goalkeeper,Center Attacking Midfield,Offensive Midfielder
3957.0,2.2893627,6.746129,Defender,Left Back,Offensive Defender
3515.0,0.2560996,7.3843484,Defender,Right Wing,Winger
38412.0,12.202136,4.574519,Defender,Right Wing,Winger
3471.0,11.416234,3.400025,Defender,Center Attacking Midfield,Offensive Midfielder
3529.0,0.91722864,0.969695,Forward,Center Forward,Striker
3473.0,3.6646736,0.6330354,Midfielder,Center Defensive Midfield,Defensive Midfielder
3539.0,5.4016333,18.949007,Goalkeeper,Goalkeeper,Goalkeeper
4090.0,2.4953077,1.743701,Midfielder,Right Center Midfield,Central Midfielder
3381.0,5.2091084,4.540536,Midfielder,Right Center Midfield,Central Midfielder
