player,player_id,country,team,position,match_played,minutes_played,subbed_in,subbed_out,unique_positions_played,positions_played,full_match_equivalents
Rubén Castro Martín,6832.0,Spain,Real Betis,Forward,43.0,3436.0,5.0,5.0,"['Center Forward', 'Right Wing', 'Right Center Forward', 'Right Midfield', 'Left Midfield', 'Left Wing', 'Left Center Forward']","['Left Center Forward', 'Center Forward', 'Center Forward', 'Left Center Forward', 'Center Forward', 'Center Forward', 'Right Center Forward', 'Center Forward', 'Right Center Forward', 'Left Center Forward', 'Center Forward', 'Left Center Forward', 'Left Midfield', 'Left Center Forward', 'Left Center Forward', 'Right Center Forward', 'Center Forward', 'Left Wing', 'Right Wing', 'Left Center Forward', 'Center Forward', 'Center Forward', 'Left Center Forward', 'Center Forward', 'Center Forward', 'Left Wing', 'Center Forward', 'Center Forward', 'Right Wing', 'Left Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Left Center Forward', 'Left Wing', 'Left Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Left Center Forward', 'Center Forward', 'Left Center Forward', 'Center Forward', 'Left Center Forward', 'Center Forward', 'Left Center Forward', 'Left Center Forward', 'Right Midfield', 'Right Center Forward', 'Left Center Forward', 'Center Forward', 'Left Center Forward', 'Left Center Forward']",38.17777777777778
Gerard Gumbau Garriga,6834.0,Spain,Barcelona,Defender,0.0,0.0,0.0,0.0,"['Left Defensive Midfield', 'Left Back', 'Center Defensive Midfield']","['Center Defensive Midfield', 'Left Back', 'Left Defensive Midfield']",0.0
Mauro Javier Dos Santos,6837.0,Argentina,Eibar,Defender,31.0,2704.0,1.0,1.0,"['Left Center Back', 'Right Center Back']","['Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Left Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back']",30.044444444444444
Hernán Arsenio Pérez González,6838.0,Paraguay,Espanyol,Forward,34.0,2448.0,7.0,7.0,"['Left Wing Back', 'Right Wing Back', 'Right Wing', 'Right Midfield', 'Left Midfield', 'Left Wing', 'Left Center Forward']","['Right Wing', 'Right Midfield', 'Right Midfield', 'Right Wing', 'Right Midfield', 'Right Wing', 'Left Wing', 'Right Wing', 'Right Midfield', 'Left Wing', 'Right Midfield', 'Right Wing', 'Left Wing', 'Right Wing', 'Right Midfield', 'Right Wing', 'Left Wing', 'Left Midfield', 'Left Wing', 'Right Midfield', 'Right Wing', 'Right Wing', 'Right Wing', 'Right Midfield', 'Right Wing', 'Right Wing', 'Left Midfield', 'Right Wing', 'Right Wing', 'Left Wing Back', 'Right Wing', 'Left Center Forward', 'Right Midfield', 'Right Midfield', 'Left Midfield', 'Right Wing', 'Right Midfield', 'Right Midfield', 'Left Midfield', 'Left Wing Back', 'Right Wing Back', 'Right Wing', 'Right Midfield', 'Right Midfield', 'Right Wing', 'Left Wing', 'Right Wing', 'Right Wing', 'Right Wing', 'Left Wing', 'Right Wing', 'Right Wing', 'Right Wing', 'Right Wing', 'Right Wing', 'Right Midfield', 'Right Wing', 'Right Wing', 'Right Wing', 'Left Wing']",27.2
Marcos Llorente Moreno,6840.0,Spain,Real Madrid,Midfielder,0.0,0.0,0.0,0.0,"['Left Wing', 'Left Center Midfield']","['Left Center Midfield', 'Left Wing', 'Left Center Midfield']",0.0
Víctor Machín Pérez,6841.0,Spain,Sevilla,Forward,28.0,2084.0,5.0,5.0,"['Center Attacking Midfield', 'Right Wing Back', 'Right Wing', 'Right Back', 'Right Midfield', 'Right Center Forward', 'Left Midfield', 'Left Wing']","['Right Center Forward', 'Right Wing', 'Left Wing', 'Left Midfield', 'Right Midfield', 'Right Wing Back', 'Left Wing', 'Right Wing', 'Right Wing', 'Right Wing', 'Right Wing', 'Right Wing', 'Left Wing', 'Right Wing', 'Right Wing', 'Left Wing', 'Right Wing', 'Right Wing', 'Right Wing', 'Right Wing', 'Right Wing', 'Left Wing', 'Right Wing', 'Right Wing', 'Left Wing', 'Right Wing', 'Right Wing', 'Center Attacking Midfield', 'Right Wing', 'Right Wing', 'Left Midfield', 'Left Wing', 'Right Back', 'Right Wing', 'Right Wing', 'Left Wing', 'Right Wing', 'Right Wing', 'Right Wing', 'Right Midfield', 'Right Wing', 'Right Midfield']",23.155555555555555
Iker Muniain Goñi,6842.0,Spain,Athletic Club,Forward,23.0,1194.0,10.0,10.0,"['Center Forward', 'Center Attacking Midfield', 'Right Wing', 'Right Midfield', 'Left Midfield', 'Left Wing']","['Right Wing', 'Left Wing', 'Left Wing', 'Left Wing', 'Left Wing', 'Left Wing', 'Left Wing', 'Left Wing', 'Left Wing', 'Center Forward', 'Right Wing', 'Center Attacking Midfield', 'Left Wing', 'Left Wing', 'Right Midfield', 'Left Midfield', 'Left Wing', 'Left Wing', 'Left Wing', 'Left Wing', 'Center Attacking Midfield', 'Right Wing', 'Center Attacking Midfield', 'Left Wing', 'Right Wing', 'Left Wing', 'Left Midfield']",13.266666666666667
Federico Ricca Rostagnol,6844.0,Uruguay,Málaga,Defender,8.0,633.0,1.0,1.0,['Left Back'],"['Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back']",7.033333333333333
Ager Aketxe Barrutia,6845.0,Spain,Athletic Club,Forward,3.0,182.0,1.0,1.0,"['Left Wing', 'Center Attacking Midfield']","['Left Wing', 'Left Wing', 'Center Attacking Midfield']",2.022222222222222
Andreas Hoelgebaum Pereira,6846.0,Brazil,Manchester United,Midfielder,0.0,0.0,0.0,0.0,"['Right Defensive Midfield', 'Center Attacking Midfield', 'Left Center Midfield', 'Right Wing']","['Left Center Midfield', 'Center Attacking Midfield', 'Right Wing', 'Right Defensive Midfield', 'Center Attacking Midfield']",0.0
Adalberto Peñaranda Maestre,6847.0,Venezuela (Bolivarian Republic),Granada,Forward,32.0,1927.0,11.0,11.0,"['Center Forward', 'Center Attacking Midfield', 'Right Wing', 'Right Center Forward', 'Left Wing', 'Left Center Forward']","['Center Forward', 'Right Center Forward', 'Left Center Forward', 'Left Center Forward', 'Center Attacking Midfield', 'Center Forward', 'Right Center Forward', 'Right Center Forward', 'Left Wing', 'Left Center Forward', 'Left Center Forward', 'Left Wing', 'Center Forward', 'Right Center Forward', 'Center Forward', 'Left Wing', 'Center Attacking Midfield', 'Center Forward', 'Left Wing', 'Left Wing', 'Right Wing', 'Center Forward', 'Center Forward', 'Right Center Forward', 'Right Center Forward', 'Right Center Forward', 'Right Center Forward', 'Left Center Forward', 'Left Wing', 'Right Center Forward', 'Left Center Forward', 'Left Wing', 'Right Wing', 'Left Center Forward']",21.41111111111111
Andrés Tomás Prieto Albert,6848.0,Spain,Espanyol,nan,0.0,0.0,0.0,0.0,[],[],0.0
Lucas Digne,6849.0,France,AS Roma,Defender,34.0,2888.0,2.0,2.0,"['Left Wing Back', 'Left Back', 'Left Center Back']","['Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Center Back', 'Left Wing Back', 'Left Back', 'Left Back', 'Left Center Back', 'Left Back', 'Left Center Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back']",32.08888888888889
Jozabed Sánchez Ruiz,6852.0,Spain,Rayo Vallecano,Midfielder,30.0,2178.0,6.0,6.0,"['Center Attacking Midfield', 'Right Center Back', 'Right Center Midfield', 'Center Defensive Midfield', 'Right Defensive Midfield', 'Left Wing', 'Left Defensive Midfield', 'Left Center Midfield', 'Left Center Forward']","['Center Attacking Midfield', 'Left Center Midfield', 'Left Center Forward', 'Right Defensive Midfield', 'Right Center Back', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Right Center Midfield', 'Center Attacking Midfield', 'Left Wing', 'Right Defensive Midfield', 'Left Wing', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Right Center Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Left Wing', 'Center Attacking Midfield']",24.2
Carlos Martín Vigaray,6856.0,Spain,Getafe,Defender,15.0,1264.0,1.0,1.0,"['Center Attacking Midfield', 'Right Center Back', 'Left Center Back', 'Right Back', 'Left Back']","['Left Center Back', 'Right Back', 'Right Back', 'Left Back', 'Right Center Back', 'Right Back', 'Left Center Back', 'Left Back', 'Left Back', 'Left Back', 'Right Back', 'Right Back', 'Center Attacking Midfield', 'Right Back', 'Left Back', 'Right Back', 'Left Back', 'Right Back', 'Left Back', 'Left Back']",14.044444444444444
Nicola Sansone,6859.0,Italy,Sassuolo,Forward,38.0,2558.0,10.0,10.0,"['Center Forward', 'Right Wing', 'Left Midfield', 'Left Wing', 'Left Center Midfield', 'Right Center Midfield', 'Left Center Forward']","['Left Wing', 'Left Midfield', 'Left Wing', 'Right Wing', 'Left Midfield', 'Left Center Midfield', 'Left Wing', 'Left Midfield', 'Left Wing', 'Left Midfield', 'Left Wing', 'Left Wing', 'Left Wing', 'Left Wing', 'Right Wing', 'Left Wing', 'Left Wing', 'Center Forward', 'Left Wing', 'Left Wing', 'Left Midfield', 'Left Wing', 'Left Midfield', 'Left Wing', 'Left Midfield', 'Left Wing', 'Left Wing', 'Left Midfield', 'Left Wing', 'Left Wing', 'Left Midfield', 'Right Center Midfield', 'Left Wing', 'Left Wing', 'Left Center Midfield', 'Center Forward', 'Left Wing', 'Left Wing', 'Left Wing', 'Right Wing', 'Left Wing', 'Left Wing', 'Left Wing', 'Left Midfield', 'Right Wing', 'Left Midfield', 'Left Wing', 'Left Wing', 'Right Wing', 'Left Wing', 'Left Center Forward', 'Left Center Forward', 'Right Wing', 'Left Wing', 'Left Wing', 'Left Wing', 'Right Wing', 'Left Wing', 'Right Wing', 'Left Wing']",28.42222222222222
Mariano Damián Barbosa,6860.0,Argentina,Villarreal,Goalkeeper,2.0,180.0,0.0,0.0,['Goalkeeper'],"['Goalkeeper', 'Goalkeeper']",2.0
Juan Torres Ruiz,6861.0,Spain,Getafe,Defender,21.0,1890.0,0.0,0.0,"['Right Back', 'Left Center Back', 'Right Center Back']","['Right Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back']",21.0
Cédric Bakambu,6862.0,"Congo, (Kinshasa)",Villarreal,Forward,34.0,1935.0,13.0,13.0,"['Center Forward', 'Right Center Midfield', 'Right Wing', 'Right Center Forward', 'Left Center Forward']","['Left Center Forward', 'Left Center Forward', 'Left Center Forward', 'Right Center Forward', 'Left Center Forward', 'Left Center Forward', 'Left Center Forward', 'Right Center Forward', 'Right Center Forward', 'Left Center Forward', 'Right Center Forward', 'Left Center Forward', 'Left Center Forward', 'Left Center Forward', 'Center Forward', 'Left Center Forward', 'Left Center Forward', 'Right Center Forward', 'Right Center Forward', 'Left Center Forward', 'Left Center Forward', 'Right Wing', 'Left Center Forward', 'Right Center Midfield', 'Right Center Forward', 'Left Center Forward', 'Right Center Forward', 'Right Center Forward', 'Right Center Forward', 'Right Center Forward', 'Left Center Forward', 'Left Center Forward', 'Left Center Forward', 'Right Center Forward', 'Left Center Forward', 'Left Center Forward', 'Right Center Forward', 'Right Center Forward', 'Right Center Forward', 'Right Center Forward', 'Left Center Forward']",21.5
Mauro Wilney Arambarri Rosa,6863.0,Uruguay,Bordeaux,Midfielder,4.0,185.0,2.0,2.0,"['Center Attacking Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Right Center Midfield']","['Left Center Midfield', 'Right Center Midfield', 'Center Attacking Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield']",2.0555555555555554
Francisco José Molinero Calderón,6865.0,Spain,Real Betis,Defender,23.0,1375.0,8.0,8.0,"['Center Attacking Midfield', 'Right Back', 'Right Wing', 'Right Midfield', 'Left Back']","['Right Back', 'Right Back', 'Right Back', 'Right Back', 'Left Back', 'Right Back', 'Right Back', 'Right Wing', 'Right Wing', 'Right Back', 'Center Attacking Midfield', 'Right Back', 'Right Back', 'Right Back', 'Left Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Midfield', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back']",15.277777777777779
Papa Kouly Diop,6867.0,Senegal,Espanyol,Midfielder,33.0,2622.0,4.0,4.0,"['Center Defensive Midfield', 'Right Defensive Midfield', 'Left Center Back', 'Left Defensive Midfield', 'Left Center Midfield', 'Right Center Midfield']","['Left Center Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Right Center Midfield', 'Center Defensive Midfield', 'Left Center Midfield', 'Center Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Center Defensive Midfield', 'Right Defensive Midfield', 'Right Center Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Center Back', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Right Defensive Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Center Defensive Midfield', 'Left Defensive Midfield']",29.133333333333333
Alejandro Arribas Garrido,6869.0,Spain,RC Deportivo La Coruña,Defender,33.0,2795.0,2.0,2.0,"['Left Center Back', 'Right Center Back', 'Left Center Forward']","['Right Center Back', 'Right Center Back', 'Right Center Back', 'Left Center Back', 'Right Center Back', 'Left Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Left Center Forward', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back']",31.055555555555557
José Manuel Jurado Marín,6870.0,Spain,Watford,Midfielder,47.0,2506.0,20.0,20.0,"['Center Attacking Midfield', 'Center Defensive Midfield', 'Right Wing', 'Right Midfield', 'Right Center Forward', 'Left Midfield', 'Left Wing', 'Left Defensive Midfield', 'Right Center Midfield']","['Left Midfield', 'Left Midfield', 'Left Wing', 'Left Wing', 'Left Midfield', 'Left Wing', 'Left Midfield', 'Right Center Midfield', 'Left Midfield', 'Left Midfield', 'Left Midfield', 'Center Attacking Midfield', 'Left Wing', 'Right Wing', 'Right Midfield', 'Left Midfield', 'Left Midfield', 'Left Wing', 'Left Midfield', 'Right Midfield', 'Right Center Forward', 'Center Attacking Midfield', 'Left Midfield', 'Left Midfield', 'Left Midfield', 'Left Midfield', 'Center Attacking Midfield', 'Left Midfield', 'Left Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Left Midfield', 'Left Wing']",27.844444444444445
Costel Fane Pantilimon,6871.0,Romania,Sunderland,Goalkeeper,17.0,1530.0,0.0,0.0,['Goalkeeper'],"['Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper']",17.0
Bruno González Cabrera,6872.0,Spain,Real Betis,Defender,33.0,2882.0,1.0,1.0,"['Right Center Back', 'Right Back', 'Left Center Back', 'Left Back']","['Left Center Back', 'Right Back', 'Left Center Back', 'Left Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Left Center Back', 'Left Center Back', 'Right Center Back', 'Right Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Left Center Back', 'Right Back', 'Left Center Back', 'Right Center Back']",32.022222222222226
Francisco Portillo Soler,6873.0,Spain,Real Betis,Midfielder,16.0,1006.0,5.0,5.0,"['Center Attacking Midfield', 'Right Defensive Midfield', 'Right Wing', 'Right Midfield', 'Left Midfield', 'Left Center Midfield', 'Left Wing', 'Left Back']","['Left Wing', 'Left Midfield', 'Center Attacking Midfield', 'Left Wing', 'Right Wing', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Left Midfield', 'Left Midfield', 'Left Wing', 'Left Back', 'Left Wing', 'Center Attacking Midfield', 'Right Midfield', 'Center Attacking Midfield', 'Right Defensive Midfield', 'Left Midfield', 'Left Wing', 'Left Midfield', 'Left Center Midfield', 'Left Midfield', 'Left Midfield', 'Left Midfield', 'Left Midfield']",11.177777777777777
Miguel Torres Gómez,6878.0,Spain,Málaga,Defender,24.0,1986.0,2.0,2.0,"['Right Back', 'Left Center Back', 'Left Back']","['Left Center Back', 'Right Back', 'Right Back', 'Left Back', 'Right Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Right Back', 'Left Center Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back']",22.066666666666666
Arnaldo Antonio Sanabria Ayala,6880.0,Paraguay,Sporting Gijón,Forward,41.0,2474.0,14.0,14.0,"['Center Forward', 'Center Attacking Midfield', 'Right Wing', 'Right Center Forward', 'Left Center Midfield', 'Left Center Forward']","['Right Center Forward', 'Left Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Left Center Forward', 'Center Forward', 'Center Forward', 'Left Center Forward', 'Center Forward', 'Left Center Forward', 'Left Center Forward', 'Right Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Attacking Midfield', 'Left Center Midfield', 'Left Center Forward', 'Left Center Forward', 'Center Forward', 'Left Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Left Center Forward', 'Left Center Forward', 'Center Forward', 'Center Forward', 'Left Center Forward', 'Right Center Forward', 'Left Center Forward', 'Left Center Forward', 'Left Center Forward', 'Left Center Forward', 'Right Wing', 'Center Forward']",27.488888888888887
Sergio Álvarez Conde,6884.0,Spain,Celta Vigo,Goalkeeper,30.0,2700.0,0.0,0.0,"['Right Wing', 'Goalkeeper']","['Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Right Wing', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper']",30.0
Aleix García Serrano,6888.0,Spain,Manchester City,nan,0.0,0.0,0.0,0.0,[],[],0.0
Andreu Fontàs Prat,6890.0,Spain,Celta Vigo,Defender,7.0,545.0,1.0,1.0,"['Left Center Back', 'Right Center Back']","['Left Center Back', 'Left Center Back', 'Left Center Back', 'Right Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back']",6.055555555555555
Ezequiel Muñoz,6894.0,Argentina,Genoa,Defender,20.0,1539.0,3.0,3.0,"['Right Center Back', 'Left Center Back', 'Center Back', 'Right Back', 'Left Wing']","['Center Back', 'Center Back', 'Center Back', 'Right Center Back', 'Right Center Back', 'Right Back', 'Left Center Back', 'Left Wing', 'Right Center Back', 'Right Center Back', 'Center Back', 'Center Back', 'Right Center Back', 'Left Center Back', 'Left Center Back', 'Right Center Back', 'Left Center Back', 'Left Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Center Back', 'Right Center Back']",17.1
Jaume Doménech Sánchez,6898.0,Spain,Valencia,Goalkeeper,17.0,1530.0,0.0,0.0,['Goalkeeper'],"['Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper']",17.0
Rubén Pardo Gutiérrez,6899.0,Spain,Real Sociedad,Midfielder,27.0,1735.0,8.0,8.0,"['Center Attacking Midfield', 'Center Defensive Midfield', 'Right Defensive Midfield', 'Left Wing', 'Left Defensive Midfield', 'Left Center Midfield', 'Right Center Midfield']","['Left Defensive Midfield', 'Right Center Midfield', 'Left Defensive Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Left Wing', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Right Defensive Midfield', 'Left Center Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Right Center Midfield', 'Left Center Midfield']",19.27777777777778
Jon Bautista Orgilles,6906.0,Spain,Real Sociedad,Forward,2.0,94.0,1.0,1.0,"['Center Forward', 'Left Wing']","['Center Forward', 'Center Forward', 'Left Wing', 'Center Forward', 'Center Forward']",1.0444444444444445
Pedro León Sánchez Gil,6907.0,Spain,Getafe,Forward,40.0,2120.0,17.0,17.0,"['Center Forward', 'Center Attacking Midfield', 'Right Defensive Midfield', 'Right Wing Back', 'Right Wing', 'Right Midfield', 'Left Midfield', 'Left Wing', 'Left Defensive Midfield']","['Right Midfield', 'Right Wing', 'Right Defensive Midfield', 'Left Midfield', 'Right Wing', 'Left Wing', 'Right Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Center Forward', 'Right Midfield', 'Right Wing', 'Right Midfield', 'Left Midfield', 'Right Midfield', 'Left Wing', 'Right Wing', 'Center Attacking Midfield', 'Right Wing', 'Left Midfield', 'Right Midfield', 'Left Midfield', 'Right Midfield', 'Right Midfield', 'Right Wing', 'Right Wing', 'Right Wing', 'Right Wing', 'Right Wing Back', 'Right Wing', 'Right Midfield', 'Right Wing', 'Right Wing', 'Left Wing', 'Right Wing', 'Left Wing', 'Center Attacking Midfield', 'Right Wing', 'Left Wing', 'Right Midfield', 'Right Wing', 'Right Wing', 'Right Wing', 'Right Wing', 'Left Midfield']",23.555555555555557
Fernando Navarro i Corbacho,6913.0,Spain,RC Deportivo La Coruña,Defender,43.0,3172.0,8.0,8.0,"['Left Back', 'Left Center Back']","['Left Back', 'Left Back', 'Left Center Back', 'Left Back', 'Left Back', 'Left Center Back', 'Left Back', 'Left Center Back', 'Left Center Back', 'Left Back', 'Left Back', 'Left Center Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Center Back', 'Left Center Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Center Back', 'Left Back']",35.24444444444445
Roberto Román Triguero,6914.0,Spain,Rayo Vallecano,Defender,32.0,2620.0,3.0,3.0,"['Center Attacking Midfield', 'Right Center Back', 'Left Center Back', 'Center Back', 'Right Back', 'Left Back']","['Left Center Back', 'Left Back', 'Left Back', 'Left Back', 'Left Center Back', 'Right Back', 'Left Back', 'Right Back', 'Left Center Back', 'Left Back', 'Right Back', 'Right Center Back', 'Right Back', 'Left Center Back', 'Right Back', 'Center Attacking Midfield', 'Right Back', 'Left Back', 'Left Back', 'Right Back', 'Right Center Back', 'Right Back', 'Left Back', 'Left Center Back', 'Left Back', 'Left Back', 'Left Center Back', 'Right Back', 'Right Back', 'Left Back', 'Left Center Back', 'Left Center Back', 'Right Center Back', 'Center Back', 'Left Back', 'Right Back', 'Right Back', 'Left Back']",29.11111111111111
Isaac Ajayi Success,6918.0,Nigeria,Granada,Forward,39.0,2564.0,11.0,11.0,"['Right Wing', 'Right Midfield', 'Right Center Forward', 'Left Midfield', 'Left Wing', 'Left Center Forward']","['Left Wing', 'Left Midfield', 'Right Midfield', 'Left Midfield', 'Right Wing', 'Right Wing', 'Right Wing', 'Left Wing', 'Left Center Forward', 'Left Midfield', 'Right Wing', 'Left Wing', 'Left Midfield', 'Left Midfield', 'Right Midfield', 'Right Wing', 'Left Wing', 'Right Wing', 'Left Wing', 'Left Wing', 'Right Wing', 'Left Wing', 'Left Wing', 'Right Wing', 'Left Wing', 'Right Wing', 'Left Wing', 'Left Wing', 'Left Wing', 'Right Wing', 'Right Wing', 'Left Wing', 'Right Wing', 'Left Midfield', 'Left Wing', 'Right Wing', 'Right Wing', 'Left Wing', 'Left Wing', 'Right Wing', 'Right Wing', 'Left Center Forward', 'Right Center Forward', 'Right Wing', 'Left Wing', 'Right Wing', 'Left Wing', 'Left Wing', 'Right Wing', 'Right Wing', 'Right Wing', 'Right Center Forward']",28.488888888888887
